Age,Beg.,Nov.,Int.,Adv.,Elite
15,5.44,11.79,20.87,32.21,45.81
20,6.35,13.61,23.59,36.74,52.16
25,6.35,13.61,24.49,38.1,53.52
30,6.35,13.61,24.49,38.1,53.52
35,6.35,13.61,24.49,38.1,53.52
40,6.35,13.61,24.49,38.1,53.52
45,6.35,13.15,23.13,35.83,50.8
50,5.9,12.25,21.77,33.57,47.63
55,5.44,11.34,19.96,31.3,44
60,4.99,10.43,18.14,28.58,40.37
65,4.54,9.53,16.33,25.85,36.29
70,4.08,8.62,14.97,23.13,32.66
75,3.63,7.71,13.15,20.87,29.03
80,3.18,6.8,11.79,18.6,26.31
85,2.72,5.9,10.43,16.78,23.59
90,2.72,5.44,9.53,14.97,21.32
