Age,Beg.,Nov.,Int.,Adv.,Elite
15,40.37,58.06,79.38,103.87,130.63
20,46.27,66.22,90.72,118.84,149.69
25,47.63,68.04,92.99,122.02,153.77
30,47.63,68.04,92.99,122.02,153.77
35,47.63,68.04,92.99,122.02,153.77
40,47.63,68.04,92.99,122.02,153.77
45,45.36,64.41,88.45,115.67,145.6
50,42.18,60.33,83.01,108.86,136.98
55,39.01,55.79,76.66,100.7,126.55
60,35.83,51.26,69.85,91.63,115.67
65,32.21,46.27,63.05,83.01,104.33
70,29.03,41.28,56.7,74.39,93.44
75,25.85,37.19,50.8,66.68,83.91
80,23.13,33.11,45.36,59.42,74.84
85,20.87,29.48,40.82,53.52,67.13
90,18.6,26.76,36.74,48.08,60.33
