Age,Beg.,Nov.,Int.,Adv.,Elite
15,9.98,23.59,43.09,68.95,99.34
20,11.79,26.76,49.44,78.93,113.85
25,11.79,27.67,50.8,81.19,116.57
30,11.79,27.67,50.8,81.19,116.57
35,11.79,27.67,50.8,81.19,116.57
40,11.79,27.67,50.8,81.19,116.57
45,11.34,26.31,48.08,77.11,110.68
50,10.43,24.49,45.36,72.12,103.87
55,9.98,22.68,41.73,66.68,96.16
60,9.07,20.87,38.1,61.23,88
65,8.16,18.6,34.47,55.34,79.38
70,7.26,16.78,30.84,49.44,71.21
75,6.35,14.97,27.67,44.45,63.5
80,5.9,13.61,24.95,39.46,56.7
85,4.99,12.25,22.23,35.38,50.8
90,4.54,10.89,19.96,31.75,45.81
