Age,Beg.,Nov.,Int.,Adv.,Elite
15,3.63,9.53,19.5,32.21,47.17
20,4.08,11.34,22.23,36.74,53.98
25,4.08,11.34,22.68,37.65,55.79
30,4.08,11.34,22.68,37.65,55.79
35,4.08,11.34,22.68,37.65,55.79
40,4.08,11.34,22.68,37.65,55.79
45,4.08,10.89,21.32,35.83,52.62
50,3.63,9.98,20.41,33.57,49.44
55,3.63,9.53,18.6,30.84,45.81
60,3.18,8.62,17.24,28.12,41.73
65,2.72,7.71,15.42,25.4,37.65
70,2.72,6.8,13.61,23.13,34.02
75,2.27,6.35,12.25,20.41,30.39
80,2.27,5.44,10.89,18.14,27.22
85,1.81,4.99,9.98,16.33,24.49
90,1.81,4.54,9.07,14.97,21.77
