Age,Beg.,Nov.,Int.,Adv.,Elite
15,6.8,13.15,22.68,34.47,47.63
20,7.71,14.97,25.85,39.01,54.88
25,7.71,15.42,26.31,40.37,56.25
30,7.71,15.42,26.31,40.37,56.25
35,7.71,15.42,26.31,40.37,56.25
40,7.71,15.42,26.31,40.37,56.25
45,7.26,14.51,24.95,38.1,53.07
50,6.8,13.61,23.59,35.83,49.9
55,6.35,12.7,21.77,33.11,46.27
60,5.9,11.79,19.96,30.39,42.18
65,5.44,10.43,18.14,27.22,38.1
70,4.54,9.53,15.88,24.49,34.02
75,4.08,8.62,14.51,21.77,30.39
80,3.63,7.71,12.7,19.5,27.22
85,3.18,6.8,11.34,17.69,24.49
90,3.18,5.9,10.43,15.88,22.23
