Age,Beg.,Nov.,Int.,Adv.,Elite
15,9.53,17.24,28.12,41.73,56.7
20,10.89,19.96,32.21,47.63,65.32
25,10.89,20.41,33.11,48.99,66.68
30,10.89,20.41,33.11,48.99,66.68
35,10.89,20.41,33.11,48.99,66.68
40,10.89,20.41,33.11,48.99,66.68
45,10.43,19.05,31.3,46.27,63.5
50,9.98,18.14,29.48,43.54,59.42
55,9.07,16.78,27.22,40.37,54.88
60,8.16,15.42,24.95,36.74,50.35
65,7.71,13.61,22.23,33.11,45.36
70,6.8,12.25,19.96,29.94,40.82
75,5.9,10.89,18.14,26.76,36.29
80,5.44,9.98,16.33,23.59,32.66
85,4.99,9.07,14.51,21.32,29.03
90,4.54,8.16,13.15,19.05,26.31
