Age,Beg.,Nov.,Int.,Adv.,Elite
15,10.43,18.14,28.58,41.73,56.25
20,11.79,20.87,33.11,47.63,64.41
25,12.25,21.32,33.57,48.99,65.77
30,12.25,21.32,33.57,48.99,65.77
35,12.25,21.32,33.57,48.99,65.77
40,12.25,21.32,33.57,48.99,65.77
45,11.79,20.41,32.21,46.27,62.6
50,10.89,19.05,29.94,43.54,58.51
55,9.98,17.69,27.67,40.37,54.43
60,9.07,16.33,25.4,36.74,49.44
65,8.16,14.51,23.13,33.11,44.91
70,7.71,13.15,20.41,29.94,40.37
75,6.8,11.79,18.6,26.76,35.83
80,5.9,10.43,16.33,23.59,32.21
85,5.44,9.53,14.97,21.32,28.58
90,4.99,8.62,13.15,19.05,25.85
