BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,0,7.71,35.38,83.01,147.42
54.43,0,9.98,40.37,90.72,157.4
58.97,0.45,12.7,45.36,97.98,166.92
63.5,0.91,15.42,50.35,105.23,175.99
68.04,1.36,18.14,54.88,111.58,184.61
72.57,2.27,20.41,59.42,118.39,193.23
77.11,3.18,23.13,63.96,124.28,200.94
81.65,4.08,25.85,68.04,130.63,208.65
86.18,5.44,28.58,72.57,136.53,215.91
90.72,6.35,31.3,76.66,141.97,223.17
95.25,7.71,33.57,80.74,147.42,229.97
99.79,9.07,36.29,84.37,152.86,236.78
104.33,10.43,39.01,88.45,157.85,243.13
108.86,11.79,41.28,92.08,162.84,249.48
113.4,13.15,44,95.71,167.83,255.37
117.93,14.51,46.27,99.34,172.82,261.27
122.47,15.88,48.99,102.97,177.35,267.17
127.01,17.24,51.26,106.59,181.89,272.61
131.54,18.6,53.52,109.77,186.43,278.05
136.08,19.96,55.79,113.4,190.96,283.5
140.61,21.32,58.06,116.57,195.04,288.48
