Age,Beg.,Nov.,Int.,Adv.,Elite
15,-25.4,-15.42,-3.63,9.53,23.13
20,-20.41,-9.07,4.54,19.5,35.38
25,-19.5,-7.71,6.35,21.77,37.65
30,-19.5,-7.71,6.35,21.77,37.65
35,-19.5,-7.71,6.35,21.77,37.65
40,-19.5,-7.71,6.35,21.77,37.65
45,-21.32,-10.43,2.72,17.24,32.66
50,-24.04,-13.61,-1.36,12.7,27.22
55,-26.76,-16.78,-5.44,7.26,20.41
60,-29.48,-20.87,-10.43,1.36,13.15
65,-32.66,-24.49,-15.42,-4.99,6.35
70,-35.38,-28.58,-19.96,-10.43,-0.91
75,-38.1,-31.75,-24.49,-15.88,-7.26
80,-40.37,-34.93,-28.12,-20.41,-12.7
85,-42.64,-37.65,-31.3,-24.95,-17.69
90,-44.45,-39.92,-34.47,-28.12,-21.77
