Age,Beg.,Nov.,Int.,Adv.,Elite
15,-27.67,-15.42,-0.91,16.33,34.47
20,-23.13,-9.07,8.16,27.22,48.08
25,-21.77,-7.71,9.98,29.48,50.8
30,-21.77,-7.71,9.98,29.48,50.8
35,-21.77,-7.71,9.98,29.48,50.8
40,-21.77,-7.71,9.98,29.48,50.8
45,-24.04,-10.43,6.35,24.95,44.91
50,-26.31,-13.61,2.27,19.5,38.56
55,-29.03,-17.24,-2.72,13.61,31.3
60,-31.75,-20.87,-7.71,7.26,23.13
65,-34.47,-24.95,-13.15,0.45,14.97
70,-37.19,-28.58,-17.69,-5.9,7.26
75,-39.92,-31.75,-22.23,-11.79,0
80,-42.18,-34.93,-26.31,-16.78,-6.35
85,-44,-37.65,-29.94,-21.32,-12.25
90,-45.81,-39.92,-33.11,-25.4,-16.78
