Age,Beg.,Nov.,Int.,Adv.,Elite
15,14.97,27.22,44.45,65.32,89.36
20,16.78,31.3,50.8,74.84,102.51
25,17.24,32.21,52.16,77.11,105.23
30,17.24,32.21,52.16,77.11,105.23
35,17.24,32.21,52.16,77.11,105.23
40,17.24,32.21,52.16,77.11,105.23
45,16.33,30.39,49.44,73.03,99.79
50,15.42,28.58,46.27,68.49,93.89
55,14.51,26.31,43.09,63.5,86.64
60,13.15,24.04,39.01,57.61,78.93
65,11.79,21.77,35.38,52.16,71.67
70,10.43,19.5,31.75,46.72,63.96
75,9.53,17.24,28.58,41.73,57.15
80,8.62,15.42,25.4,37.65,51.26
85,7.71,14.06,22.68,33.57,45.81
90,6.8,12.7,20.41,30.39,41.28
