BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,5.9,20.41,45.36,79.83,122.02
45.36,8.16,24.95,51.71,88,132
49.9,10.89,29.03,57.61,96.16,141.97
54.43,13.61,33.11,63.5,103.42,150.59
58.97,15.88,37.19,69.4,110.68,159.21
63.5,18.6,41.28,74.84,117.48,167.38
68.04,21.32,45.36,79.83,124.28,175.54
72.57,24.04,48.99,84.82,130.18,182.8
77.11,26.76,53.07,89.81,136.53,190.06
81.65,29.48,56.7,94.35,142.43,196.86
86.18,31.75,59.87,98.88,147.87,203.21
90.72,34.47,63.5,103.42,153.31,209.56
95.25,36.74,67.13,107.95,158.3,215.91
99.79,39.46,70.31,112.04,163.75,221.81
104.33,41.73,73.48,116.12,168.74,227.7
108.86,44.45,76.66,120.2,173.27,233.15
113.4,46.72,79.83,123.83,177.81,238.59
117.93,48.99,83.01,127.91,182.34,243.58
