BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,20.41,41.73,72.57,111.13,156.49
45.36,23.13,45.36,77.11,117.48,163.29
49.9,25.4,48.99,81.65,122.92,170.1
54.43,27.67,52.16,86.18,128.37,175.99
58.97,30.39,55.34,90.26,132.9,181.89
63.5,32.21,58.51,93.89,137.89,187.33
68.04,34.47,61.23,97.52,141.97,192.32
72.57,36.74,63.96,101.15,146.06,197.31
77.11,38.56,66.68,104.33,150.14,201.85
81.65,40.37,69.4,107.5,154.22,206.38
86.18,42.64,71.67,110.68,157.85,210.47
90.72,44.45,73.94,113.4,161.03,214.55
95.25,45.81,76.2,116.12,164.65,218.18
99.79,47.63,78.47,118.84,167.83,221.81
104.33,49.44,80.74,121.56,170.55,225.44
108.86,50.8,82.55,123.83,173.73,229.06
113.4,52.62,84.82,126.55,176.45,232.24
117.93,53.98,86.64,128.82,179.62,235.41
