BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,12.7,22.68,36.29,53.52,72.57
45.36,14.06,24.95,39.01,56.25,76.2
49.9,15.42,26.76,41.28,59.42,79.38
54.43,16.78,28.58,43.54,62.14,82.55
58.97,18.14,29.94,45.81,64.41,85.28
63.5,19.5,31.75,47.63,66.68,88
68.04,20.87,33.11,49.44,68.95,90.72
72.57,21.77,34.93,51.26,71.21,92.99
77.11,23.13,36.29,53.07,73.48,95.71
81.65,24.04,37.65,54.88,75.3,97.52
86.18,25.4,39.01,56.25,77.11,99.79
90.72,26.31,40.37,58.06,78.93,102.06
95.25,27.22,41.28,59.42,80.74,103.87
99.79,28.12,42.64,60.78,82.1,105.69
104.33,29.03,43.54,62.14,83.91,107.5
108.86,29.94,44.91,63.5,85.28,109.32
113.4,30.84,45.81,64.86,86.64,111.13
117.93,31.75,47.17,66.22,88.45,112.49
