BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,13.61,24.95,40.37,59.87,81.65
45.36,14.97,26.76,42.64,62.6,84.82
49.9,16.33,28.58,44.91,65.32,88
54.43,17.69,29.94,47.17,67.59,90.72
58.97,18.6,31.75,48.99,69.85,93.44
63.5,19.96,33.11,50.8,72.12,95.71
68.04,20.87,34.47,52.16,73.94,97.98
72.57,21.77,35.83,53.98,75.75,100.24
77.11,22.68,37.19,55.34,77.56,102.51
81.65,23.59,38.1,57.15,79.38,104.33
86.18,24.49,39.46,58.51,81.19,106.14
90.72,25.4,40.37,59.87,82.55,107.95
95.25,26.31,41.28,60.78,84.37,109.77
99.79,27.22,42.64,62.14,85.73,111.58
104.33,28.12,43.54,63.5,87.09,112.94
108.86,28.58,44.45,64.41,88.45,114.76
113.4,29.48,45.36,65.77,89.81,116.12
117.93,30.39,46.27,66.68,91.17,117.48
