BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,5.9,19.5,41.73,72.57,110.22
45.36,8.16,22.68,46.72,78.93,117.93
49.9,9.98,26.31,51.26,84.82,125.19
54.43,11.79,29.03,55.79,90.72,131.54
58.97,14.06,32.21,59.87,95.71,138.35
63.5,15.88,35.38,63.96,101.15,144.24
68.04,17.69,38.1,67.59,105.69,150.14
72.57,19.5,40.82,71.21,110.22,155.58
77.11,21.77,43.54,74.84,114.76,160.57
81.65,23.59,46.27,78.47,118.84,165.56
86.18,25.4,48.99,81.65,122.92,170.55
90.72,27.22,51.26,84.82,127.01,175.09
95.25,29.03,53.52,88,130.63,179.62
99.79,30.39,56.25,91.17,134.72,183.7
104.33,32.21,58.51,93.89,137.89,188.24
108.86,34.02,60.78,97.07,141.52,191.87
113.4,35.38,63.05,99.79,144.7,195.95
117.93,37.19,64.86,102.51,148.32,199.58
