BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,6.35,19.5,42.18,72.57,109.77
45.36,8.16,23.13,47.17,78.93,117.48
49.9,10.43,26.31,51.71,85.28,124.74
54.43,12.25,29.48,56.25,90.72,132
58.97,14.51,32.66,60.33,96.16,138.35
63.5,16.33,35.83,64.41,101.6,144.7
68.04,18.14,39.01,68.49,106.59,150.59
72.57,20.41,41.73,72.12,111.13,156.04
77.11,22.23,44.45,75.75,115.67,161.48
81.65,24.04,47.17,79.38,120.2,166.47
86.18,26.31,49.9,83.01,124.28,171.46
90.72,28.12,52.62,86.18,128.37,175.99
95.25,29.94,54.88,89.36,132,180.53
99.79,31.75,57.61,92.53,136.08,185.07
104.33,33.57,59.87,95.71,139.71,189.6
108.86,35.38,62.14,98.43,143.34,193.68
113.4,36.74,64.41,101.15,146.51,197.31
117.93,38.56,66.68,103.87,149.69,201.4
