BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,18.14,31.3,48.99,70.76,95.25
45.36,20.41,34.47,53.07,75.3,100.24
49.9,22.68,37.19,56.25,79.38,105.23
54.43,24.49,39.92,59.87,83.46,109.77
58.97,26.76,42.64,62.6,87.09,113.85
63.5,28.58,44.91,65.77,90.72,117.93
68.04,30.39,47.17,68.49,93.89,121.56
72.57,32.21,49.44,71.21,97.07,125.19
77.11,34.02,51.71,73.94,99.79,128.82
81.65,35.83,53.52,76.2,102.97,132
86.18,37.19,55.79,78.47,105.69,134.72
90.72,39.01,57.61,80.74,107.95,137.89
95.25,40.37,59.42,83.01,110.68,140.61
99.79,41.73,61.23,85.28,112.94,143.34
104.33,43.54,63.05,87.09,115.67,146.06
108.86,44.91,64.41,89.36,117.93,148.78
113.4,46.27,66.22,91.17,120.2,151.05
117.93,47.63,68.04,92.99,122.02,153.77
