BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,6.35,13.61,24.04,37.19,52.62
45.36,7.26,14.97,25.85,39.46,54.88
49.9,8.16,16.33,27.22,41.28,57.61
54.43,9.07,17.69,29.03,43.54,59.87
58.97,9.98,18.6,30.39,45.36,61.69
63.5,10.89,19.96,31.75,46.72,63.96
68.04,11.79,20.87,33.11,48.53,65.77
72.57,12.25,21.77,34.47,49.9,67.59
77.11,13.15,22.68,35.83,51.71,69.4
81.65,14.06,23.59,36.74,53.07,70.76
86.18,14.51,24.49,38.1,54.43,72.57
90.72,15.42,25.4,39.01,55.79,73.94
95.25,15.88,26.31,40.37,56.7,75.3
99.79,16.78,27.22,41.28,58.06,76.66
104.33,17.24,28.12,42.18,58.97,78.02
108.86,17.69,28.58,43.09,60.33,79.38
113.4,18.6,29.48,44,61.23,80.74
117.93,19.05,30.39,44.91,62.6,81.65
