BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,5.9,14.06,26.76,43.54,63.5
45.36,6.8,15.42,28.58,45.81,66.22
49.9,7.71,16.78,30.39,48.08,68.95
54.43,8.16,18.14,32.21,49.9,71.21
58.97,9.07,19.05,33.57,52.16,73.48
63.5,9.98,20.41,34.93,53.98,75.3
68.04,10.43,21.32,36.29,55.34,77.56
72.57,11.34,22.23,37.65,57.15,79.38
77.11,11.79,23.13,39.01,58.51,81.19
81.65,12.7,24.04,39.92,59.87,83.01
86.18,13.15,24.95,41.28,61.23,84.37
90.72,14.06,25.85,42.18,62.6,86.18
95.25,14.51,26.76,43.54,63.96,87.54
99.79,14.97,27.67,44.45,65.32,88.9
104.33,15.88,28.12,45.36,66.68,90.26
108.86,16.33,29.03,46.27,67.59,91.63
113.4,16.78,29.94,47.17,68.95,92.99
117.93,17.24,30.39,48.08,69.85,94.35
