BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,0.45,3.18,8.16,15.42,24.49
45.36,0.91,3.63,9.07,16.78,26.31
49.9,0.91,4.54,9.98,18.14,28.12
54.43,1.36,4.99,10.89,19.5,29.94
58.97,1.81,5.44,11.79,20.87,31.3
63.5,2.27,6.35,12.7,21.77,32.66
68.04,2.27,6.8,13.61,23.13,34.02
72.57,2.72,7.26,14.51,24.04,35.38
77.11,3.18,8.16,15.42,24.95,36.74
81.65,3.63,8.62,15.88,25.85,37.65
86.18,4.08,9.07,16.78,26.76,39.01
90.72,4.08,9.53,17.69,27.67,39.92
95.25,4.54,9.98,18.14,28.58,40.82
99.79,4.99,10.43,19.05,29.48,42.18
104.33,5.44,11.34,19.5,30.39,43.09
108.86,5.44,11.79,20.41,31.3,44
113.4,5.9,12.25,20.87,32.21,44.91
117.93,6.35,12.7,21.32,32.66,45.81
