BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,6.35,16.78,33.57,55.34,81.65
45.36,7.26,18.14,35.38,58.06,84.82
49.9,8.16,19.5,37.19,60.33,87.54
54.43,9.07,20.87,39.01,62.6,90.26
58.97,9.53,22.23,40.37,64.41,92.53
63.5,10.43,23.13,42.18,66.68,94.8
68.04,11.34,24.49,43.54,68.49,97.07
72.57,11.79,25.4,44.91,69.85,99.34
77.11,12.7,26.31,46.27,71.67,101.15
81.65,13.15,27.22,47.63,73.48,102.97
86.18,13.61,28.12,48.53,74.84,104.78
90.72,14.51,29.03,49.9,76.2,106.59
95.25,14.97,29.94,50.8,77.56,107.95
99.79,15.42,30.84,52.16,78.93,109.77
104.33,16.33,31.75,53.07,80.29,111.13
108.86,16.78,32.21,53.98,81.65,112.49
113.4,17.24,33.11,54.88,82.55,114.31
117.93,17.69,34.02,55.79,83.91,115.67
