BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,3.63,12.7,28.12,49.9,76.2
45.36,4.54,14.97,31.75,54.43,82.1
49.9,6.35,17.24,34.93,58.97,87.54
54.43,7.71,19.5,38.1,63.05,92.53
58.97,9.07,21.77,41.28,67.13,97.52
63.5,10.43,24.04,44.45,71.21,102.06
68.04,11.79,26.31,47.17,74.84,106.59
72.57,13.15,28.12,50.35,78.02,110.68
77.11,14.51,30.39,52.62,81.65,114.76
81.65,15.88,32.21,55.34,84.82,118.39
86.18,17.24,34.47,58.06,88,122.02
90.72,18.6,36.29,60.33,90.72,125.65
95.25,19.96,38.1,62.6,93.89,129.27
99.79,21.32,39.92,64.86,96.62,132.45
104.33,22.68,41.73,67.13,99.34,135.62
108.86,24.04,43.09,69.4,102.06,138.8
113.4,25.4,44.91,71.67,104.33,141.52
117.93,26.31,46.72,73.94,107.05,144.7
