BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,3.18,8.62,17.24,28.12,41.73
45.36,4.08,9.98,18.6,30.39,44
49.9,4.54,10.89,19.96,32.21,46.27
54.43,5.44,11.79,21.32,34.02,48.08
58.97,5.9,13.15,22.68,35.38,50.35
63.5,6.8,14.06,24.04,37.19,52.16
68.04,7.26,14.97,25.4,38.56,53.98
72.57,8.16,15.88,26.31,39.92,55.34
77.11,8.62,16.33,27.67,41.28,57.15
81.65,9.07,17.24,28.58,42.64,58.51
86.18,9.98,18.14,29.48,44,59.87
90.72,10.43,19.05,30.39,44.91,61.23
95.25,10.89,19.5,31.3,46.27,62.6
99.79,11.34,20.41,32.66,47.17,63.96
104.33,11.79,20.87,33.11,48.53,65.32
108.86,12.7,21.77,34.02,49.44,66.68
113.4,13.15,22.23,34.93,50.35,67.59
117.93,13.61,23.13,35.83,51.26,68.95
