BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,5.44,14.51,28.12,46.72,68.49
45.36,6.35,15.88,29.94,48.99,71.67
49.9,7.26,17.24,31.75,51.26,74.39
54.43,8.16,18.14,33.57,53.52,77.11
58.97,8.62,19.5,35.38,55.79,79.38
63.5,9.53,20.41,36.74,57.61,81.65
68.04,10.43,21.77,38.1,59.42,83.91
72.57,10.89,22.68,39.46,60.78,85.73
77.11,11.79,23.59,40.82,62.6,87.54
81.65,12.25,24.49,42.18,63.96,89.36
86.18,13.15,25.4,43.09,65.77,91.17
90.72,13.61,26.31,44.45,67.13,92.99
95.25,14.06,27.22,45.36,68.49,94.35
99.79,14.97,28.12,46.72,69.85,96.16
104.33,15.42,29.03,47.63,70.76,97.52
108.86,15.88,29.94,48.53,72.12,98.88
113.4,16.78,30.39,49.44,73.48,100.24
117.93,17.24,31.3,50.35,74.39,101.6
