BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,23.13,32.66,44.45,58.06,72.57
45.36,24.95,34.93,47.17,60.78,75.75
49.9,26.76,37.19,49.44,63.96,78.93
54.43,28.58,39.01,51.71,66.22,82.1
58.97,30.39,40.82,53.98,68.95,84.37
63.5,31.75,42.64,55.79,71.21,87.09
68.04,33.11,44.45,58.06,73.03,89.36
72.57,34.47,45.81,59.87,75.3,91.63
77.11,35.83,47.63,61.23,77.11,93.89
81.65,37.19,48.99,63.05,78.93,95.71
86.18,38.1,50.35,64.86,80.74,97.98
90.72,39.46,51.71,66.22,82.55,99.79
95.25,40.82,53.07,67.59,83.91,101.6
99.79,41.73,54.43,68.95,85.73,103.42
104.33,42.64,55.34,70.31,87.09,104.78
108.86,44,56.7,71.67,88.9,106.59
113.4,44.91,57.61,73.03,90.26,107.95
117.93,45.81,58.97,74.39,91.63,109.77
