BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,9.07,16.33,26.76,39.01,53.52
45.36,10.89,18.6,29.48,42.64,57.15
49.9,12.25,20.87,32.21,45.81,61.23
54.43,14.06,22.68,34.47,48.53,64.41
58.97,15.42,24.95,37.19,51.71,67.59
63.5,16.78,26.76,39.46,54.43,70.76
68.04,18.6,28.58,41.28,56.7,73.94
72.57,19.96,30.39,43.54,59.42,76.66
77.11,21.32,32.21,45.81,61.69,79.38
81.65,22.68,33.57,47.63,63.96,81.65
86.18,24.04,35.38,49.44,66.22,84.37
90.72,24.95,36.74,51.26,68.04,86.64
95.25,26.31,38.1,53.07,70.31,88.9
99.79,27.67,39.92,54.88,72.12,91.17
104.33,28.58,41.28,56.25,74.39,93.44
108.86,29.94,42.64,58.06,76.2,95.25
113.4,31.3,44,59.42,78.02,97.52
117.93,32.21,45.36,61.23,79.38,99.34
