BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,24.49,40.82,63.05,89.81,119.75
45.36,27.67,44.91,68.04,95.71,126.55
49.9,30.39,48.99,73.03,101.6,133.36
54.43,33.57,52.62,77.56,106.59,139.25
58.97,36.29,56.25,81.65,111.58,144.7
63.5,39.01,59.42,85.73,116.57,150.14
68.04,41.73,62.6,89.36,121.11,155.58
72.57,44,65.77,92.99,125.19,160.12
77.11,46.72,68.95,96.62,129.27,164.65
81.65,48.99,71.67,100.24,133.36,169.19
86.18,51.26,74.39,103.42,136.98,173.27
90.72,53.52,77.11,106.59,140.61,177.35
95.25,55.79,79.83,109.32,143.79,181.44
99.79,57.61,82.1,112.49,147.42,185.07
104.33,59.87,84.37,115.21,150.59,188.69
108.86,61.69,87.09,117.93,153.77,192.32
113.4,63.5,89.36,120.66,156.49,195.5
117.93,65.32,91.17,123.38,159.66,198.67
