BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,8.16,18.6,34.02,53.98,77.56
45.36,9.98,21.32,38.1,58.97,83.46
49.9,12.25,24.49,41.73,63.96,89.36
54.43,14.06,27.22,45.36,68.04,94.35
58.97,15.88,29.94,48.99,72.57,99.34
63.5,18.14,32.66,52.16,76.66,104.33
68.04,19.96,34.93,55.34,80.29,108.86
72.57,21.77,37.65,58.51,83.91,112.94
77.11,23.59,39.92,61.23,87.54,117.03
81.65,25.4,42.18,64.41,91.17,121.11
86.18,27.22,44.45,67.13,94.35,124.74
90.72,29.03,46.72,69.85,97.52,128.37
95.25,30.39,48.53,72.57,100.7,132
99.79,32.21,50.8,74.84,103.42,135.62
104.33,33.57,52.62,77.56,106.59,138.8
108.86,35.38,54.88,79.83,109.32,141.97
113.4,36.74,56.7,82.1,112.04,145.15
117.93,38.56,58.51,84.37,114.76,147.87
