BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,3.18,7.71,14.06,22.23,31.75
45.36,4.08,8.62,14.97,23.59,33.57
49.9,4.54,9.53,16.33,25.4,35.83
54.43,5.44,10.43,17.69,26.76,37.19
58.97,5.9,11.34,18.6,28.12,39.01
63.5,6.35,12.25,19.96,29.48,40.37
68.04,7.26,12.7,20.87,30.84,42.18
72.57,7.71,13.61,21.77,32.21,43.54
77.11,8.16,14.51,22.68,33.11,44.91
81.65,8.62,15.42,23.59,34.47,46.27
86.18,9.53,15.88,24.49,35.38,47.17
90.72,9.98,16.78,25.4,36.29,48.53
95.25,10.43,17.24,26.31,37.19,49.44
99.79,10.89,17.69,27.22,38.1,50.8
104.33,11.34,18.6,28.12,39.01,51.71
108.86,11.79,19.05,28.58,39.92,52.62
113.4,12.25,19.96,29.48,40.82,53.98
117.93,12.7,20.41,29.94,41.73,54.88
