BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,0.91,3.63,8.16,14.06,21.32
45.36,1.36,4.08,8.62,14.97,22.23
49.9,1.36,4.08,9.07,15.42,23.13
54.43,1.81,4.54,9.53,15.88,23.59
58.97,1.81,4.99,9.53,16.33,24.04
63.5,1.81,4.99,9.98,16.78,24.49
68.04,1.81,5.44,10.43,17.24,24.95
72.57,2.27,5.44,10.89,17.69,25.4
77.11,2.27,5.9,10.89,17.69,25.85
81.65,2.27,5.9,11.34,18.14,26.31
86.18,2.72,5.9,11.34,18.6,26.76
90.72,2.72,6.35,11.79,19.05,27.22
95.25,2.72,6.35,11.79,19.05,27.67
99.79,2.72,6.8,12.25,19.5,28.12
104.33,3.18,6.8,12.25,19.96,28.58
108.86,3.18,6.8,12.7,19.96,28.58
113.4,3.18,7.26,12.7,20.41,29.03
117.93,3.18,7.26,13.15,20.41,29.48
