BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,4.99,9.53,15.88,24.04,33.11
45.36,5.44,10.43,17.24,25.4,34.93
49.9,6.35,11.34,18.14,26.76,36.74
54.43,6.8,12.25,19.05,28.12,38.1
58.97,7.26,12.7,20.41,29.48,39.46
63.5,7.71,13.61,21.32,30.39,40.82
68.04,8.62,14.51,22.23,31.3,42.18
72.57,9.07,14.97,23.13,32.66,43.09
77.11,9.53,15.88,23.59,33.57,44.45
81.65,9.98,16.33,24.49,34.47,45.36
86.18,10.43,16.78,25.4,35.38,46.27
90.72,10.89,17.69,25.85,36.29,47.63
95.25,11.34,18.14,26.76,37.19,48.53
99.79,11.79,18.6,27.22,37.65,49.44
104.33,12.25,19.05,28.12,38.56,50.35
108.86,12.7,19.5,28.58,39.46,50.8
113.4,13.15,20.41,29.48,39.92,51.71
117.93,13.61,20.87,29.94,40.82,52.62
