BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,2.72,8.62,18.14,31.75,48.08
45.36,3.18,9.53,19.96,34.02,50.8
49.9,4.08,10.89,21.77,36.29,53.07
54.43,4.54,11.79,23.13,38.1,55.79
58.97,5.44,13.15,24.49,39.92,58.06
63.5,5.9,14.06,26.31,41.73,59.87
68.04,6.8,14.97,27.22,43.54,62.14
72.57,7.26,15.88,28.58,44.91,63.96
77.11,8.16,16.78,29.94,46.72,65.77
81.65,8.62,17.69,31.3,48.08,67.59
86.18,9.07,18.6,32.21,49.44,69.4
90.72,9.98,19.5,33.57,50.8,70.76
95.25,10.43,20.41,34.47,52.16,72.57
99.79,10.89,21.32,35.38,53.52,73.94
104.33,11.34,21.77,36.29,54.88,75.3
108.86,12.25,22.68,37.65,55.79,76.66
113.4,12.7,23.59,38.56,57.15,78.02
117.93,13.15,24.04,39.46,58.06,79.38
