BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,4.54,10.43,19.05,30.39,43.54
45.36,4.99,10.89,19.5,30.84,44.45
49.9,4.99,11.34,19.96,31.75,44.91
54.43,5.44,11.34,20.41,32.21,45.36
58.97,5.44,11.79,20.87,32.66,46.27
63.5,5.9,12.25,21.32,33.11,46.72
68.04,5.9,12.25,21.77,33.57,47.17
72.57,5.9,12.7,21.77,34.02,47.63
77.11,6.35,12.7,22.23,34.47,48.08
81.65,6.35,13.15,22.68,34.47,48.53
86.18,6.35,13.15,22.68,34.93,48.99
90.72,6.8,13.61,23.13,35.38,49.44
95.25,6.8,13.61,23.13,35.38,49.9
99.79,6.8,14.06,23.59,35.83,49.9
104.33,7.26,14.06,23.59,36.29,50.35
108.86,7.26,14.06,24.04,36.29,50.8
113.4,7.26,14.51,24.04,36.74,50.8
117.93,7.26,14.51,24.49,36.74,51.26
