BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,3.18,6.35,10.89,16.78,23.59
45.36,3.63,7.26,11.79,18.14,24.95
49.9,4.08,7.71,12.7,19.05,26.31
54.43,4.54,8.62,13.61,19.96,27.22
58.97,4.99,9.07,14.51,21.32,28.58
63.5,5.44,9.98,15.42,22.23,29.48
68.04,5.9,10.43,15.88,23.13,30.84
72.57,6.35,10.89,16.78,23.59,31.75
77.11,6.8,11.34,17.24,24.49,32.66
81.65,7.26,12.25,18.14,25.4,33.57
86.18,7.71,12.7,18.6,26.31,34.47
90.72,8.16,13.15,19.5,26.76,35.38
95.25,8.62,13.61,19.96,27.67,35.83
99.79,9.07,14.06,20.41,28.12,36.74
104.33,9.53,14.51,20.87,29.03,37.65
108.86,9.53,14.97,21.77,29.48,38.1
113.4,9.98,15.42,22.23,29.94,39.01
117.93,10.43,15.88,22.68,30.84,39.46
