BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,2.27,5.44,9.98,15.88,22.68
45.36,2.72,6.35,10.89,16.78,24.04
49.9,3.18,6.8,11.79,18.14,25.4
54.43,3.63,7.26,12.7,19.05,26.31
58.97,4.08,7.71,13.15,19.96,27.67
63.5,4.54,8.62,14.06,20.87,28.58
68.04,4.99,9.07,14.51,21.32,29.48
72.57,5.44,9.53,15.42,22.23,30.39
77.11,5.44,9.98,15.88,23.13,31.3
81.65,5.9,10.43,16.33,23.59,32.21
86.18,6.35,10.89,16.78,24.49,32.66
90.72,6.8,11.34,17.69,24.95,33.57
95.25,6.8,11.79,18.14,25.85,34.47
99.79,7.26,12.25,18.6,26.31,34.93
104.33,7.71,12.7,19.05,26.76,35.83
108.86,7.71,12.7,19.5,27.67,36.29
113.4,8.16,13.15,19.96,28.12,36.74
117.93,8.62,13.61,20.41,28.58,37.65
