BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,8.62,19.96,36.29,58.06,83.01
45.36,9.98,21.77,39.01,61.23,87.09
49.9,11.34,24.04,41.73,64.41,91.17
54.43,12.7,25.85,44.45,67.59,94.8
58.97,14.06,27.67,46.72,70.31,97.98
63.5,15.42,29.48,48.53,73.03,101.15
68.04,16.33,30.84,50.8,75.75,104.33
72.57,17.69,32.66,53.07,78.02,107.05
77.11,18.6,34.02,54.88,80.74,109.77
81.65,19.96,35.38,56.7,82.55,112.49
86.18,20.87,36.74,58.51,84.82,114.76
90.72,21.77,38.1,59.87,87.09,117.03
95.25,22.68,39.46,61.69,88.9,119.29
99.79,23.59,40.82,63.05,90.72,121.56
104.33,24.95,41.73,64.86,92.53,123.83
108.86,25.85,43.09,66.22,94.35,125.65
113.4,26.76,44.45,67.59,96.16,127.91
117.93,27.67,45.36,68.95,97.52,129.73
