BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,7.26,17.24,31.75,51.26,74.39
45.36,8.62,19.05,34.47,54.88,78.47
49.9,9.53,20.87,37.19,58.06,82.1
54.43,10.89,22.68,39.46,60.78,85.28
58.97,12.25,24.49,41.73,63.5,88.9
63.5,13.15,25.85,43.54,66.22,91.63
68.04,14.51,27.22,45.81,68.49,94.8
72.57,15.42,29.03,47.63,70.76,97.52
77.11,16.33,30.39,49.44,73.03,100.24
81.65,17.69,31.75,51.26,75.3,102.51
86.18,18.6,33.11,53.07,77.11,104.78
90.72,19.5,34.47,54.43,79.38,107.05
95.25,20.41,35.83,56.25,81.19,109.32
99.79,21.32,36.74,57.61,83.01,111.58
104.33,22.23,38.1,58.97,84.82,113.4
108.86,23.13,39.01,60.33,86.64,115.67
113.4,24.04,40.37,61.69,88,117.48
117.93,24.95,41.28,63.05,89.81,119.29
