BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,15.42,24.04,35.38,48.53,63.05
45.36,17.24,26.31,37.65,51.26,66.22
49.9,19.05,28.12,39.92,53.98,69.4
54.43,20.41,29.94,42.18,56.7,72.12
58.97,21.77,31.75,44.45,58.97,74.84
63.5,23.13,33.57,46.27,61.23,77.56
68.04,24.49,34.93,48.08,63.5,79.83
72.57,25.85,36.74,49.9,65.32,82.1
77.11,27.22,38.1,51.71,67.13,84.37
81.65,28.12,39.46,53.52,69.4,86.18
86.18,29.48,40.82,54.88,70.76,88.45
90.72,30.39,42.18,56.25,72.57,90.26
95.25,31.75,43.54,57.61,74.39,92.08
99.79,32.66,44.45,59.42,75.75,93.89
104.33,33.57,45.81,60.78,77.56,95.25
108.86,34.47,46.72,61.69,78.93,97.07
113.4,35.38,48.08,63.05,80.29,98.88
117.93,36.29,48.99,64.41,81.65,100.24
