BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,30.84,48.53,70.76,97.07,126.55
45.36,34.47,52.62,75.75,103.42,133.36
49.9,37.65,56.7,80.74,108.86,139.71
54.43,40.82,60.78,85.28,114.31,146.06
58.97,44,64.41,89.81,119.29,151.5
63.5,47.17,68.04,93.89,124.28,156.94
68.04,49.9,71.21,97.98,128.82,161.93
72.57,52.62,74.39,101.6,132.9,166.92
77.11,54.88,77.56,105.23,136.98,171.46
81.65,57.61,80.74,108.86,141.07,175.99
86.18,59.87,83.46,112.04,144.7,180.08
90.72,62.14,86.18,115.21,148.32,184.16
95.25,64.41,88.9,118.39,151.95,187.79
99.79,66.68,91.17,121.11,155.13,191.87
104.33,68.95,93.89,124.28,158.76,195.5
108.86,71.21,96.16,127.01,161.48,198.67
113.4,73.03,98.43,129.73,164.65,202.3
117.93,74.84,100.7,132,167.83,205.48
