BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,17.69,36.29,62.6,96.16,135.17
45.36,19.05,38.1,65.32,99.34,138.8
49.9,20.41,39.92,67.13,102.06,141.97
54.43,21.32,41.28,69.4,104.33,144.7
58.97,22.23,43.09,71.21,107.05,147.42
63.5,23.59,44.45,73.03,108.86,150.14
68.04,24.49,45.36,74.84,111.13,152.41
72.57,25.4,46.72,76.2,112.94,154.67
77.11,26.31,48.08,78.02,114.76,156.94
81.65,27.22,48.99,79.38,116.57,159.21
86.18,27.67,50.35,80.74,118.39,161.03
90.72,28.58,51.26,82.1,119.75,162.84
95.25,29.48,52.16,83.46,121.56,164.65
99.79,29.94,53.07,84.37,122.92,166.47
104.33,30.84,53.98,85.73,124.28,167.83
108.86,31.3,54.88,86.64,125.65,169.64
113.4,32.21,55.79,88,127.01,171
117.93,32.66,56.7,88.9,128.37,172.37
