BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,3.63,7.26,13.15,20.41,29.03
45.36,4.08,8.62,14.51,22.23,31.3
49.9,4.99,9.53,15.88,24.04,33.11
54.43,5.44,10.43,17.24,25.4,34.93
58.97,6.35,11.34,18.6,27.22,36.74
63.5,7.26,12.25,19.5,28.58,38.56
68.04,7.71,13.15,20.87,29.94,39.92
72.57,8.62,14.06,21.77,31.3,41.28
77.11,9.07,14.97,22.68,32.21,43.09
81.65,9.53,15.88,24.04,33.57,44.45
86.18,10.43,16.78,24.95,34.93,45.81
90.72,10.89,17.24,25.85,35.83,46.72
95.25,11.34,18.14,26.76,36.74,48.08
99.79,12.25,19.05,27.67,38.1,49.44
104.33,12.7,19.5,28.58,39.01,50.35
108.86,13.15,20.41,29.48,39.92,51.71
113.4,14.06,20.87,29.94,40.82,52.62
117.93,14.51,21.77,30.84,41.73,53.52
