BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,16.78,30.84,50.35,73.94,101.15
45.36,19.05,33.57,53.52,78.02,105.69
49.9,20.87,35.83,56.7,81.65,110.22
54.43,22.23,38.1,59.42,85.28,114.31
58.97,24.04,40.37,62.14,88.45,117.93
63.5,25.85,42.64,64.86,91.63,121.56
68.04,27.22,44.45,67.13,94.35,124.74
72.57,28.58,46.27,69.4,97.07,127.91
77.11,30.39,48.08,71.67,99.79,131.09
81.65,31.75,49.9,73.94,102.06,133.81
86.18,33.11,51.71,75.75,104.78,136.53
90.72,34.02,53.07,78.02,107.05,139.25
95.25,35.38,54.88,79.83,109.32,141.52
99.79,36.74,56.25,81.65,111.13,143.79
104.33,37.65,57.61,83.46,113.4,146.51
108.86,39.01,59.42,84.82,115.21,148.78
113.4,39.92,60.78,86.64,117.03,150.59
117.93,41.28,61.69,88,118.84,152.86
