BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,5.44,12.7,24.04,38.1,55.34
45.36,6.35,14.06,25.85,40.82,58.06
49.9,7.26,15.42,27.67,43.09,60.78
54.43,8.16,16.78,29.48,45.36,63.5
58.97,9.07,18.14,30.84,47.17,65.77
63.5,9.98,19.5,32.66,48.99,68.04
68.04,10.89,20.41,34.02,50.8,70.31
72.57,11.79,21.77,35.38,52.62,72.57
77.11,12.25,22.68,36.74,54.43,74.39
81.65,13.15,23.59,38.1,55.79,76.2
86.18,14.06,24.95,39.46,57.61,78.02
90.72,14.51,25.85,40.82,58.97,79.83
95.25,15.42,26.76,41.73,60.33,81.19
99.79,15.88,27.67,43.09,61.69,83.01
104.33,16.78,28.58,44,63.05,84.37
108.86,17.24,29.48,45.36,64.41,85.73
113.4,18.14,30.39,46.27,65.77,87.09
117.93,18.6,30.84,47.17,66.68,88.9
