BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,3.63,8.62,16.78,27.22,39.46
45.36,4.08,9.53,17.69,28.58,41.28
49.9,4.54,10.43,19.05,29.94,43.09
54.43,4.99,11.34,19.96,31.3,44.45
58.97,5.44,11.79,20.87,32.66,46.27
63.5,6.35,12.7,21.77,34.02,47.63
68.04,6.8,13.15,22.68,34.93,48.99
72.57,7.26,14.06,23.59,35.83,49.9
77.11,7.71,14.51,24.49,36.74,51.26
81.65,8.16,15.42,25.4,38.1,52.16
86.18,8.62,15.88,25.85,39.01,53.52
90.72,8.62,16.33,26.76,39.92,54.43
95.25,9.07,16.78,27.67,40.37,55.34
99.79,9.53,17.24,28.12,41.28,56.25
104.33,9.98,18.14,28.58,42.18,57.15
108.86,10.43,18.6,29.48,43.09,58.06
113.4,10.89,19.05,29.94,43.54,58.97
117.93,10.89,19.5,30.39,44.45,59.87
