BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,7.71,17.24,31.3,48.99,69.4
45.36,9.07,19.05,33.11,51.71,72.57
49.9,9.98,20.41,35.38,53.98,75.75
54.43,10.89,21.77,37.19,56.25,78.47
58.97,12.25,23.13,39.01,58.51,80.74
63.5,13.15,24.49,40.37,60.33,83.46
68.04,14.06,25.85,42.18,62.6,85.73
72.57,14.51,26.76,43.54,64.41,87.54
77.11,15.42,28.12,44.91,66.22,89.81
81.65,16.33,29.03,46.27,67.59,91.63
86.18,17.24,30.39,47.63,69.4,93.44
90.72,18.14,31.3,48.99,70.76,95.25
95.25,18.6,32.21,50.35,72.12,97.07
99.79,19.5,33.11,51.26,73.48,98.88
104.33,19.96,34.02,52.62,74.84,100.24
108.86,20.87,34.93,53.52,76.2,101.6
113.4,21.32,35.83,54.88,77.56,103.42
117.93,22.23,36.74,55.79,78.93,104.78
