BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,3.63,9.07,17.69,28.58,42.18
45.36,4.08,9.98,18.6,30.39,44
49.9,4.54,10.89,19.96,31.75,45.81
54.43,5.44,11.79,20.87,33.11,47.63
58.97,5.9,12.25,22.23,34.47,48.99
63.5,6.35,13.15,23.13,35.83,50.35
68.04,6.8,14.06,24.04,36.74,51.71
72.57,7.26,14.51,24.95,38.1,53.07
77.11,7.71,15.42,25.85,39.01,54.43
81.65,8.16,15.88,26.76,39.92,55.79
86.18,8.62,16.33,27.22,41.28,56.7
90.72,9.07,17.24,28.12,42.18,58.06
95.25,9.53,17.69,29.03,43.09,58.97
99.79,9.98,18.14,29.48,44,59.87
104.33,10.43,18.6,30.39,44.45,60.78
108.86,10.89,19.05,30.84,45.36,61.69
113.4,10.89,19.96,31.75,46.27,62.6
117.93,11.34,20.41,32.21,47.17,63.5
