BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,4.99,9.53,15.88,23.59,33.11
45.36,5.44,10.43,16.78,24.95,34.47
49.9,5.9,10.89,17.69,26.31,35.83
54.43,6.8,11.79,19.05,27.67,37.19
58.97,7.26,12.7,19.5,28.58,38.56
63.5,7.71,13.15,20.41,29.48,39.92
68.04,8.16,13.61,21.32,30.39,40.82
72.57,8.62,14.51,22.23,31.75,42.18
77.11,9.07,14.97,22.68,32.21,43.09
81.65,9.53,15.42,23.59,33.11,44
86.18,9.98,16.33,24.49,34.02,44.91
90.72,10.43,16.78,24.95,34.93,45.81
95.25,10.89,17.24,25.4,35.38,46.72
99.79,11.34,17.69,26.31,36.29,47.63
104.33,11.34,18.14,26.76,36.74,48.08
108.86,11.79,18.6,27.22,37.65,48.99
113.4,12.25,19.05,27.67,38.1,49.9
117.93,12.7,19.5,28.58,39.01,50.35
