BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,7.71,14.06,22.68,33.11,45.36
45.36,9.07,15.88,24.95,36.29,48.53
49.9,10.43,17.69,27.22,39.01,51.71
54.43,11.79,19.5,29.48,41.28,54.88
58.97,13.15,21.32,31.75,44,57.61
63.5,14.51,22.68,33.57,46.27,60.33
68.04,15.88,24.49,35.38,48.53,63.05
72.57,17.24,25.85,37.65,50.8,65.32
77.11,18.14,27.67,39.01,53.07,68.04
81.65,19.5,29.03,40.82,54.88,70.31
86.18,20.87,30.39,42.64,56.7,72.57
90.72,21.77,31.75,44.45,58.51,74.39
95.25,23.13,33.11,45.81,60.33,76.66
99.79,24.04,34.47,47.17,62.14,78.47
104.33,24.95,35.83,48.99,63.96,80.29
108.86,26.31,36.74,50.35,65.77,82.1
113.4,27.22,38.1,51.71,67.13,83.91
117.93,28.12,39.46,53.07,68.49,85.73
