BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,10.89,18.14,28.12,39.92,53.52
45.36,12.25,19.96,29.94,42.64,56.25
49.9,13.15,21.32,32.21,44.91,58.97
54.43,14.51,23.13,34.02,46.72,61.23
58.97,15.42,24.49,35.38,48.99,63.5
63.5,16.78,25.85,37.19,50.8,65.77
68.04,17.69,26.76,38.56,52.62,67.59
72.57,18.6,28.12,39.92,53.98,69.4
77.11,19.5,29.48,41.73,55.79,71.21
81.65,20.41,30.39,43.09,57.15,73.03
86.18,21.32,31.75,44,58.97,74.84
90.72,22.23,32.66,45.36,60.33,76.66
95.25,23.13,33.57,46.72,61.69,78.02
99.79,24.04,34.47,47.63,63.05,79.38
104.33,24.95,35.38,48.99,64.41,80.74
108.86,25.4,36.29,49.9,65.32,82.1
113.4,26.31,37.19,50.8,66.68,83.46
117.93,27.22,38.1,52.16,68.04,84.82
