BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,4.54,8.62,14.06,21.32,29.48
45.36,4.99,9.53,15.42,22.68,30.84
49.9,5.9,10.43,16.33,24.04,32.66
54.43,6.35,11.34,17.24,25.4,34.02
58.97,6.8,11.79,18.6,26.31,35.38
63.5,7.71,12.7,19.5,27.67,36.74
68.04,8.16,13.15,20.41,28.58,37.65
72.57,8.62,14.06,21.32,29.48,39.01
77.11,9.07,14.51,21.77,30.39,39.92
81.65,9.53,15.42,22.68,31.3,41.28
86.18,9.98,15.88,23.59,32.21,42.18
90.72,10.89,16.78,24.04,33.11,43.09
95.25,11.34,17.24,24.95,34.02,44
99.79,11.79,17.69,25.4,34.93,44.91
104.33,12.25,18.14,26.31,35.38,45.81
108.86,12.25,18.6,26.76,36.29,46.72
113.4,12.7,19.5,27.67,37.19,47.63
117.93,13.15,19.96,28.12,37.65,48.08
