BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,1.81,4.99,9.98,16.33,24.04
45.36,2.27,5.44,10.43,17.24,25.4
49.9,2.72,5.9,11.34,18.6,26.76
54.43,2.72,6.8,12.25,19.5,27.67
58.97,3.18,7.26,12.7,20.41,29.03
63.5,3.63,7.71,13.61,20.87,29.94
68.04,4.08,8.16,14.06,21.77,30.84
72.57,4.08,8.62,14.97,22.68,31.75
77.11,4.54,9.07,15.42,23.13,32.66
81.65,4.99,9.53,15.88,24.04,33.57
86.18,4.99,9.98,16.33,24.49,34.02
90.72,5.44,10.43,16.78,25.4,34.93
95.25,5.9,10.43,17.24,25.85,35.38
99.79,5.9,10.89,18.14,26.31,36.29
104.33,6.35,11.34,18.6,27.22,36.74
108.86,6.35,11.79,19.05,27.67,37.65
113.4,6.8,12.25,19.5,28.12,38.1
117.93,6.8,12.25,19.5,28.58,39.01
