BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,1.81,7.26,16.78,29.94,45.81
45.36,2.72,8.62,18.6,32.66,48.99
49.9,3.63,9.98,20.41,34.93,52.16
54.43,4.08,11.34,22.23,37.19,54.88
58.97,4.99,12.25,24.04,39.46,57.61
63.5,5.44,13.61,25.4,41.28,59.87
68.04,6.35,14.97,27.22,43.54,62.14
72.57,7.26,15.88,28.58,45.36,64.41
77.11,7.71,16.78,29.94,47.17,66.68
81.65,8.62,18.14,31.3,48.53,68.95
86.18,9.07,19.05,32.66,50.35,70.76
90.72,9.98,19.96,34.02,52.16,72.57
95.25,10.89,20.87,35.38,53.52,74.39
99.79,11.34,21.77,36.74,54.88,76.2
104.33,11.79,22.68,37.65,56.7,78.02
108.86,12.7,23.59,39.01,58.06,79.38
113.4,13.15,24.49,39.92,59.42,81.19
117.93,14.06,25.4,41.28,60.78,82.55
