BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,19.5,32.66,49.44,69.85,92.53
45.36,22.23,35.83,53.52,74.39,97.98
49.9,24.49,38.56,57.15,78.93,102.97
54.43,26.76,41.73,60.33,83.01,107.5
58.97,29.03,44.45,63.96,86.64,112.04
63.5,31.3,46.72,66.68,90.26,116.12
68.04,33.11,49.44,69.85,93.89,119.75
72.57,34.93,51.71,72.57,97.07,123.83
77.11,36.74,53.98,75.3,100.24,127.01
81.65,38.56,56.25,78.02,102.97,130.63
86.18,40.37,58.51,80.29,106.14,133.81
90.72,42.18,60.33,83.01,108.86,136.98
95.25,44,62.14,85.28,111.58,139.71
99.79,45.36,64.41,87.54,113.85,142.88
104.33,47.17,66.22,89.36,116.57,145.6
108.86,48.53,68.04,91.63,118.84,147.87
113.4,49.9,69.85,93.44,121.11,150.59
117.93,51.71,71.21,95.71,123.38,153.31
