BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,2.72,7.26,15.42,26.31,39.01
45.36,3.63,9.07,17.69,29.03,42.64
49.9,4.54,10.43,19.5,31.3,45.81
54.43,5.44,11.79,21.32,34.02,48.53
58.97,6.35,13.15,23.13,36.29,51.26
63.5,7.26,14.51,24.95,38.56,53.98
68.04,8.16,15.88,26.76,40.82,56.7
72.57,9.07,17.24,28.58,42.64,58.97
77.11,9.98,18.6,29.94,44.45,61.23
81.65,10.89,19.5,31.75,46.72,63.5
86.18,11.79,20.87,33.11,48.53,65.77
90.72,12.7,22.23,34.47,50.35,67.59
95.25,13.61,23.13,36.29,51.71,69.4
99.79,14.51,24.04,37.65,53.52,71.67
104.33,14.97,25.4,39.01,55.34,73.48
108.86,15.88,26.31,39.92,56.7,75.3
113.4,16.78,27.22,41.28,58.06,77.11
117.93,17.69,28.58,42.64,59.87,78.47
