BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,19.96,29.03,39.92,52.62,66.68
45.36,21.77,31.3,42.64,55.79,69.85
49.9,23.59,33.11,44.91,58.51,73.03
54.43,25.4,35.38,47.17,61.23,76.2
58.97,27.22,37.19,49.44,63.5,78.93
63.5,28.58,39.01,51.71,65.77,81.19
68.04,29.94,40.82,53.52,68.04,83.91
72.57,31.3,42.18,55.34,70.31,86.18
77.11,32.66,44,57.15,72.12,88.45
81.65,34.02,45.36,58.97,74.39,90.26
86.18,35.38,46.72,60.33,76.2,92.53
90.72,36.29,48.08,62.14,78.02,94.35
95.25,37.65,49.44,63.5,79.38,96.16
99.79,39.01,50.8,64.86,81.19,97.98
104.33,39.92,52.16,66.68,82.55,99.79
108.86,40.82,53.07,68.04,84.37,101.6
113.4,42.18,54.43,69.4,85.73,102.97
117.93,43.09,55.79,70.31,87.09,104.78
