BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,6.35,14.06,24.95,39.46,56.25
45.36,7.71,15.88,27.67,42.64,59.87
49.9,9.07,18.14,30.39,45.81,63.96
54.43,10.43,19.96,32.66,48.99,67.13
58.97,11.79,21.77,34.93,51.71,70.76
63.5,13.15,23.59,37.19,54.43,73.48
68.04,14.51,24.95,39.46,57.15,76.66
72.57,15.88,26.76,41.28,59.42,79.38
77.11,16.78,28.12,43.54,61.69,82.1
81.65,18.14,29.94,45.36,63.96,84.82
86.18,19.05,31.3,47.17,66.22,87.09
90.72,20.41,32.66,48.99,68.04,89.81
95.25,21.32,34.02,50.8,70.31,92.08
99.79,22.68,35.38,52.16,72.12,94.35
104.33,23.59,36.74,53.98,73.94,96.62
108.86,24.49,38.1,55.34,75.75,98.43
113.4,25.85,39.46,57.15,77.56,100.7
117.93,26.76,40.82,58.51,79.38,102.51
