BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,4.99,14.97,30.39,50.8,75.75
45.36,5.9,15.88,31.75,53.07,78.47
49.9,6.8,17.24,33.57,55.34,81.19
54.43,7.26,18.6,35.38,57.61,83.46
58.97,8.16,19.5,36.74,59.42,85.73
63.5,8.62,20.41,38.1,61.23,88
68.04,9.53,21.32,39.46,62.6,89.81
72.57,9.98,22.23,40.37,64.41,92.08
77.11,10.43,23.13,41.73,65.77,93.44
81.65,11.34,24.04,43.09,67.13,95.25
86.18,11.79,24.95,44,68.49,97.07
90.72,12.25,25.85,44.91,69.85,98.43
95.25,12.7,26.31,45.81,71.21,99.79
99.79,13.15,27.22,47.17,72.12,101.6
104.33,13.61,27.67,48.08,73.48,102.97
108.86,14.06,28.58,48.99,74.39,103.87
113.4,14.51,29.03,49.9,75.75,105.23
117.93,14.97,29.94,50.35,76.66,106.59
