BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,1.36,4.54,9.53,16.78,25.4
45.36,1.81,4.99,10.43,17.69,26.76
49.9,1.81,5.44,10.89,18.6,27.67
54.43,2.27,5.9,11.79,19.5,29.03
58.97,2.27,6.35,12.25,20.41,29.94
63.5,2.72,6.8,13.15,21.32,30.84
68.04,3.18,7.26,13.61,21.77,31.75
72.57,3.18,7.71,14.06,22.68,32.66
77.11,3.63,8.16,14.51,23.13,33.11
81.65,3.63,8.16,14.97,24.04,34.02
86.18,4.08,8.62,15.42,24.49,34.93
90.72,4.08,9.07,15.88,24.95,35.38
95.25,4.54,9.53,16.33,25.4,36.29
99.79,4.54,9.53,16.78,26.31,36.74
104.33,4.99,9.98,17.24,26.76,37.19
108.86,4.99,10.43,17.69,27.22,38.1
113.4,5.44,10.89,18.14,27.67,38.56
117.93,5.44,10.89,18.6,28.12,39.01
