BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,20.87,34.47,52.62,74.39,98.88
45.36,22.68,37.19,55.79,78.02,103.42
49.9,24.49,39.46,58.51,81.65,107.05
54.43,26.31,41.28,61.23,84.82,110.68
58.97,28.12,43.54,63.5,87.54,113.85
63.5,29.48,45.36,66.22,90.26,117.03
68.04,30.84,47.17,68.49,92.99,120.2
72.57,32.21,48.99,70.31,95.25,122.92
77.11,33.57,50.8,72.57,97.98,125.65
81.65,34.93,52.62,74.39,100.24,128.37
86.18,36.29,53.98,76.2,102.06,130.63
90.72,37.65,55.34,78.02,104.33,132.9
95.25,39.01,57.15,79.83,106.14,135.17
99.79,39.92,58.51,81.19,107.95,137.44
104.33,41.28,59.87,83.01,110.22,139.25
108.86,42.18,61.23,84.37,111.58,141.52
113.4,43.09,62.14,86.18,113.4,143.34
117.93,44.45,63.5,87.54,115.21,145.15
