BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,22.23,38.56,60.33,87.09,117.03
45.36,25.4,42.64,65.77,93.44,124.74
49.9,28.58,47.17,70.76,99.34,131.54
54.43,31.75,50.8,75.75,105.23,137.89
58.97,34.93,54.43,80.29,110.68,144.24
63.5,37.65,58.06,84.37,115.67,149.69
68.04,40.37,61.69,88.45,120.66,155.58
72.57,43.09,64.86,92.53,125.19,160.57
77.11,45.81,68.04,96.16,129.27,165.56
81.65,48.08,71.21,99.79,133.81,170.55
86.18,50.8,73.94,103.42,137.89,175.09
90.72,53.07,77.11,107.05,141.52,179.17
95.25,55.34,79.83,110.22,145.6,183.7
99.79,57.61,82.55,113.4,149.23,187.79
104.33,59.87,85.28,116.57,152.41,191.42
108.86,62.14,87.54,119.29,156.04,195.5
113.4,63.96,90.26,122.47,159.21,199.13
117.93,66.22,92.53,125.19,162.39,202.76
