BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,3.18,9.07,19.05,32.66,48.99
45.36,4.08,10.89,21.77,35.83,52.62
49.9,4.99,12.7,24.04,39.01,56.7
54.43,6.35,14.51,26.31,41.73,59.87
58.97,7.26,15.88,28.58,44.45,63.5
63.5,8.62,17.69,30.39,47.17,66.68
68.04,9.53,19.05,32.66,49.9,69.4
72.57,10.43,20.87,34.47,52.16,72.57
77.11,11.79,22.23,36.74,54.43,75.3
81.65,12.7,23.59,38.56,56.7,77.56
86.18,13.61,24.95,40.37,58.97,80.29
90.72,14.97,26.31,41.73,61.23,82.55
95.25,15.88,27.67,43.54,63.05,85.28
99.79,16.78,29.03,45.36,65.32,87.54
104.33,17.69,30.39,46.72,67.13,89.81
108.86,18.6,31.75,48.53,68.95,91.63
113.4,19.96,32.66,49.9,70.76,93.89
117.93,20.87,34.02,51.26,72.57,95.71
