BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,5.44,11.79,21.32,33.11,46.72
45.36,6.35,13.15,22.68,34.93,48.99
49.9,7.26,14.06,24.04,36.29,50.8
54.43,7.71,14.97,25.4,38.1,52.62
58.97,8.62,16.33,26.76,39.46,54.43
63.5,9.07,17.24,27.67,41.28,56.25
68.04,9.98,17.69,29.03,42.64,57.61
72.57,10.43,18.6,29.94,43.54,59.42
77.11,10.89,19.5,30.84,44.91,60.78
81.65,11.79,20.41,31.75,46.27,62.14
86.18,12.25,20.87,32.66,47.17,63.5
90.72,12.7,21.77,33.57,48.08,64.41
95.25,13.15,22.68,34.47,49.44,65.77
99.79,14.06,23.13,35.38,50.35,67.13
104.33,14.51,24.04,36.29,51.26,68.04
108.86,14.97,24.49,37.19,52.16,68.95
113.4,15.42,24.95,37.65,53.07,70.31
117.93,15.88,25.85,38.56,53.98,71.21
