BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,2.72,7.71,15.42,25.85,38.1
45.36,3.63,8.62,16.78,27.67,39.92
49.9,4.08,9.53,18.14,29.03,42.18
54.43,4.54,10.43,19.05,30.39,44
58.97,4.99,11.34,20.41,31.75,45.36
63.5,5.9,12.25,21.32,33.11,47.17
68.04,6.35,12.7,22.23,34.47,48.53
72.57,6.8,13.61,23.59,35.83,49.9
77.11,7.26,14.51,24.49,36.74,51.26
81.65,7.71,14.97,25.4,38.1,52.62
86.18,8.16,15.88,25.85,39.01,53.98
90.72,8.62,16.33,26.76,39.92,54.88
95.25,9.07,16.78,27.67,40.82,56.25
99.79,9.53,17.69,28.58,42.18,57.15
104.33,9.98,18.14,29.03,43.09,58.51
108.86,10.43,18.6,29.94,43.54,59.42
113.4,10.89,19.5,30.84,44.45,60.33
117.93,11.34,19.96,31.3,45.36,61.23
